FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2023,Remaining,JAN,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Conveyances,Passenger Vehicles,3014
2022,Remaining,FEB,Northern Border,SEATTLE,ND,"FORTUNA, ND (3417)",Land,Travelers,Passenger Vehicles,265
2023,Remaining,AUG,Northern Border,SEATTLE,ND,"AMBROSE, ND (3410)",Land,Travelers,Passenger Vehicles,230
2023,Remaining,APR,Northern Border,SEATTLE,WA,"OROVILLE, WA (3019)",Land,Travelers,Pedestrians,451
2024,Remaining,JUL,Northern Border,BOSTON,ME,"BANGOR, ME (0102)",Air,Conveyances,Air,266
2023,Remaining,JUN,Coastal/Interior,ATLANTA,NC,"WINSTON-SALEM, NC (1502)",Air,Travelers,Air,49
2022,Remaining,JUL,Northern Border,SEATTLE,MT,"ROOSVILLE, MT (3318)",Land,Travelers,Trucks,661
2024,Remaining,MAY,Northern Border,SEATTLE,WA,"FRONTIER, WA (3020)",Land,Conveyances,Passenger Vehicles,2927
2024,Remaining,JUN,Southern Border,SAN DIEGO,CA,OTAY MESA (2506),Land,Conveyances,Trucks,90121
2024,Remaining,JUN,Northern Border,SEATTLE,ND,"SARLES, ND (3409)",Land,Conveyances,Trucks,62
2024,Remaining,JUN,Northern Border,SEATTLE,MT,"MORGAN, MT (3319)",Land,Travelers,Passenger Vehicles,766
2025 (FYTD),FYTD,OCT,Northern Border,BUFFALO,NY,"CAPE VINCENT, NY (0706)",Land,Conveyances,Passenger Vehicles,163
2023,FYTD,NOV,Northern Border,BUFFALO,NY,"MASSENA, NY (0704)",Land,Travelers,Trucks,2469
2022,FYTD,NOV,Northern Border,SEATTLE,ND,"WALHALLA, ND (3407)",Land,Travelers,Passenger Vehicles,388
2022,Remaining,JAN,Northern Border,BOSTON,ME,"BANGOR, ME (0102)",Air,Travelers,Air,460
2023,Remaining,FEB,Northern Border,SEATTLE,WA,SEATTLE-TACOMA INTL ARPT (3029),Air,Travelers,Air,149939
2022,Remaining,JUN,Northern Border,SEATTLE,ND,GRAND FORKS AIRPORT (3427),Air,Travelers,Air,86
2023,Remaining,JUL,Coastal/Interior,NEW ORLEANS,TN,"CHATTANOOGA, TN (2008)",Air,Conveyances,Air,10
2025 (FYTD),FYTD,OCT,Coastal/Interior,HOUSTON,TX,"HOBBY AIRPORT, TX (5314)",Air,Travelers,Air,32918
2023,Remaining,FEB,Northern Border,BOSTON,ME,"VAN BUREN, ME (0108)",Land,Travelers,Pedestrians,129
2022,Remaining,AUG,Northern Border,SEATTLE,WA,"FRONTIER, WA (3020)",Land,Conveyances,Passenger Vehicles,2247
2023,Remaining,MAR,Coastal/Interior,NEW ORLEANS,AL,"BIRMINGHAM, AL (1904)",Air,Travelers,Air,213
2024,Remaining,AUG,Northern Border,BOSTON,ME,"CALAIS, ME (0115)",Land,Travelers,Pedestrians,2871
2024,Remaining,JUN,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Air,Travelers,Air,1
2024,FYTD,OCT,Coastal/Interior,CHICAGO,WI,"RACINE, WI (3708)",Air,Travelers,Air,36
2023,Remaining,MAR,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Land,Conveyances,Trucks,138199
2024,Remaining,FEB,Northern Border,BUFFALO,NY,CHAMPLAIN-ROUSES POINT (0712),Land,Conveyances,Trucks,21829
2022,Remaining,SEP,Southern Border,TUCSON,AZ,"SAN LUIS, AZ (2608)",Air,Conveyances,Air,14
2023,FYTD,NOV,Northern Border,BOSTON,CT,"NEW HAVEN, CT (0412)",Air,Conveyances,Air,7
2022,Remaining,JUL,Southern Border,TUCSON,AZ,"PHOENIX, AZ (2605)",Air,Travelers,Air,85346
2022,Remaining,SEP,Northern Border,BOSTON,ME,"FORT FAIRFIELD, ME (0107)",Air,Conveyances,Air,5
2022,Remaining,MAY,Northern Border,BOSTON,ME,"VAN BUREN, ME (0108)",Land,Travelers,Pedestrians,92
2022,Remaining,MAR,Northern Border,BUFFALO,NY,"MASSENA, NY (0704)",Land,Travelers,Passenger Vehicles,74818
2023,Remaining,MAY,Coastal/Interior,BALTIMORE,DE,"WILMINGTON, DE (1103)",Air,Travelers,Air,318
2022,Remaining,JAN,Northern Border,BUFFALO,NY,BINGHAMTON REGIONAL AIRP (0981),Air,Travelers,Air,2
2022,Remaining,JUN,Coastal/Interior,CHICAGO,WI,"SHEBOYGAN, WI (3707)",Air,Conveyances,Air,6
2022,Remaining,AUG,Coastal/Interior,CHICAGO,MN,"MINNEAPOLIS-ST. PAUL, MN (3501)",Air,Travelers,Air,71823
2022,Remaining,JUN,Northern Border,BOSTON,ME,"BRIDGEWATER, ME (0127)",Land,Travelers,Passenger Vehicles,1973
2024,Remaining,MAY,Coastal/Interior,NEW ORLEANS,AL,"HUNTSVILLE, AL (1910)",Air,Conveyances,Air,2
2023,FYTD,NOV,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Travelers,Passenger Vehicles,7859
2022,Remaining,JUL,Southern Border,EL PASO,NM,"COLUMBUS, NM (2406)",Land,Travelers,Trucks,2625
2022,Remaining,MAY,Coastal/Interior,SAN FRANCISCO,UT,"SALT LAKE CITY, UT (3303)",Air,Conveyances,Air,264
2025 (FYTD),FYTD,NOV,Northern Border,BOSTON,MA,"LOGAN AIRPORT, MA (0417)",Air,Travelers,Air,248645
2024,FYTD,OCT,Coastal/Interior,TAMPA,FL,SARASOTA BRADENTON AIRPT (1883),Air,Travelers,Air,212
2023,Remaining,AUG,Northern Border,BUFFALO,NY,"OGDENSBURG, NY (0701)",Land,Travelers,Trucks,3188
2022,Remaining,MAY,Northern Border,SEATTLE,WA,"PORT TOWNSEND, WA (3008)",Air,Conveyances,Air,1
2024,Remaining,APR,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Land,Travelers,Passenger Vehicles,483799
2023,FYTD,NOV,Northern Border,PORTLAND,AK,"ANCHORAGE, AK (3126)",Air,Conveyances,Air,2076
2024,Remaining,APR,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Land,Conveyances,Passenger Vehicles,14383
2022,Remaining,APR,Coastal/Interior,CHICAGO,SD,"SIOUX FALLS, SD (3502)",Air,Conveyances,Air,30
2024,FYTD,NOV,Coastal/Interior,NEW ORLEANS,AR,"LITTLE ROCK, AR (2003)",Air,Conveyances,Air,10
2024,Remaining,AUG,Northern Border,BOSTON,ME,"VAN BUREN, ME (0108)",Land,Travelers,Pedestrians,133
2024,Remaining,JUN,Northern Border,SEATTLE,MN,"BAUDETTE, MN (3424)",Land,Travelers,Passenger Vehicles,26166
2024,Remaining,AUG,Northern Border,SEATTLE,ND,"NORTHGATE, ND (3406)",Land,Travelers,Trucks,373
2023,Remaining,MAR,Northern Border,BOSTON,CT,"NEW LONDON, CT (0413)",Air,Travelers,Air,3
2023,FYTD,OCT,Northern Border,SEATTLE,ND,"PEMBINA, ND (3401)",Air,Travelers,Air,1
2024,Remaining,MAR,Coastal/Interior,NEW ORLEANS,LA,SHREVEPORT/BOSSIER CITY (2018),Air,Conveyances,Air,3
2024,Remaining,JUN,Northern Border,SEATTLE,WA,"BLAINE, WA (3004)",Land,Travelers,Passenger Vehicles,557153
2024,Remaining,JUL,Coastal/Interior,BALTIMORE,PA,"ALLENTOWN, PA (1119)",Air,Conveyances,Air,11
2023,FYTD,NOV,Coastal/Interior,ATLANTA,GA,"ATLANTA, GA (1704)",Air,Conveyances,Air,2189
2024,Remaining,JUN,Coastal/Interior,HOUSTON,TX,MIDLAND INTER AIRPORT (5582),Air,Conveyances,Air,19
2022,Remaining,AUG,Preclearance,PRECLEARANCE,DC,USCBP HALIFAX NS PRELEAR (7931),Air,Conveyances,Air,75
2025 (FYTD),FYTD,NOV,Northern Border,SEATTLE,WA,"FERRY, WA (3013)",Land,Travelers,Pedestrians,37
2025 (FYTD),FYTD,NOV,Northern Border,BOSTON,ME,"CALAIS, ME (0115)",Land,Conveyances,Passenger Vehicles,43715
2022,Remaining,JAN,Northern Border,PORTLAND,AK,"DALTON CACHE, AK (3106)",Land,Travelers,Passenger Vehicles,148
2024,Remaining,JAN,Northern Border,BOSTON,ME,"LIMESTONE, ME (0118)",Land,Travelers,Passenger Vehicles,1112
2022,Remaining,JUN,Northern Border,SEATTLE,ND,"ANTLER, ND (3413)",Land,Travelers,Passenger Vehicles,558
2022,Remaining,AUG,Northern Border,BUFFALO,NY,"ALEXANDRIA BAY, NY (0708)",Land,Travelers,Pedestrians,7853
2025 (FYTD),FYTD,NOV,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Travelers,Pedestrians,13
2024,FYTD,OCT,Coastal/Interior,NEW ORLEANS,LA,SHREVEPORT/BOSSIER CITY (2018),Air,Conveyances,Air,2
2023,FYTD,DEC,Northern Border,SEATTLE,ND,"MAIDA, ND (3416)",Land,Travelers,Trucks,21
2025 (FYTD),FYTD,OCT,Southern Border,EL PASO,TX,"TORNILLO,TX (2404)",Land,Conveyances,Passenger Vehicles,58894
2024,Remaining,JAN,Southern Border,EL PASO,NM,"COLUMBUS, NM (2406)",Land,Conveyances,Trucks,1607
2023,FYTD,NOV,Northern Border,BOSTON,VT,"BEECHER FALLS, VT (0206)",Land,Travelers,Trucks,842
2022,Remaining,JUN,Northern Border,BUFFALO,NY,"OGDENSBURG, NY (0701)",Land,Travelers,Pedestrians,455
2024,Remaining,JUN,Northern Border,BUFFALO,NY,BUFFALO-NIAGARA FALLS NY (0901),Air,Travelers,Air,606
2025 (FYTD),FYTD,NOV,Coastal/Interior,LOS ANGELES,CA,PALM SPRINGS USER FEE (2781),Air,Travelers,Air,777
2023,Remaining,AUG,Coastal/Interior,NEW ORLEANS,AR,"LITTLE ROCK, AR (2003)",Air,Conveyances,Air,5
2022,FYTD,DEC,Northern Border,SEATTLE,MN,"LANCASTER, MN (3430)",Land,Travelers,Trucks,461
2023,Remaining,JUN,Coastal/Interior,LOS ANGELES,CA,VAN NUYS AIRPORT (2788),Air,Travelers,Air,545
2024,Remaining,APR,Northern Border,SEATTLE,MT,"TURNER, MT (3306)",Land,Travelers,Passenger Vehicles,776
2025 (FYTD),FYTD,OCT,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Travelers,Trucks,254
2023,Remaining,JUN,Southern Border,LAREDO,TX,"RIO GRANDE CITY, TX (2307)",Land,Travelers,Trucks,3939
2024,Remaining,APR,Coastal/Interior,SAN FRANCISCO,MP,SAIPAN (3211),Air,Conveyances,Air,160
2022,Remaining,APR,Coastal/Interior,NEW ORLEANS,LA,SHREVEPORT/BOSSIER CITY (2018),Air,Travelers,Air,7
2023,Remaining,FEB,Northern Border,BOSTON,ME,"CALAIS, ME (0115)",Land,Travelers,Pedestrians,552
2024,FYTD,NOV,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Travelers,Passenger Vehicles,11327
2023,Remaining,MAY,Northern Border,SEATTLE,ND,"FORTUNA, ND (3417)",Land,Travelers,Passenger Vehicles,1157
2022,FYTD,NOV,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Travelers,Pedestrians,274
2022,Remaining,JUL,Northern Border,DETROIT,MI,LANSING INTL AIRPORT (3883),Air,Conveyances,Air,6
2022,Remaining,APR,Coastal/Interior,HOUSTON,TX,CONROE-NORTH (CXO) (5382),Air,Conveyances,Air,50
2023,Remaining,FEB,Northern Border,PORTLAND,CO,JEFFCO USER FEE AIRPORT (3383),Air,Conveyances,Air,22
2024,FYTD,DEC,Northern Border,SEATTLE,ND,"ST JOHN, ND (3405)",Land,Travelers,Trucks,83
2024,Remaining,FEB,Northern Border,SEATTLE,ND,"AMBROSE, ND (3410)",Land,Travelers,Passenger Vehicles,170
2022,Remaining,MAR,Northern Border,SEATTLE,ND,"HANSBORO, ND (3415)",Land,Conveyances,Passenger Vehicles,99
2024,Remaining,AUG,Southern Border,SAN DIEGO,CA,CALEXICO-EAST (2507),Land,Conveyances,Trucks,38707
2022,FYTD,OCT,Northern Border,SEATTLE,MN,"INTERNATIONAL FALLS, MN (3604)",Land,Travelers,Trucks,1388
2022,Remaining,FEB,Coastal/Interior,HOUSTON,TX,HOUSTON INTERCONTL (5309),Air,Travelers,Air,278068
2024,Remaining,JUN,Northern Border,SEATTLE,MN,"WARROAD, MN (3423)",Air,Travelers,Air,9
2022,Remaining,SEP,Northern Border,SEATTLE,WA,"FRONTIER, WA (3020)",Land,Travelers,Pedestrians,65
2024,FYTD,NOV,Coastal/Interior,TAMPA,FL,NAPLES MUNICIPAL AIRPORT (USER FEE) (1880),Air,Travelers,Air,913
2024,Remaining,FEB,Coastal/Interior,LOS ANGELES,CA,"UPS - (ONTARIO, CA) (2795)",Air,Travelers,Air,41
2023,Remaining,JUN,Coastal/Interior,BALTIMORE,PA,"PITTSBURGH, PA (1104)",Air,Travelers,Air,7323
2022,FYTD,OCT,Northern Border,SEATTLE,ND,"HANSBORO, ND (3415)",Land,Conveyances,Trucks,24
2022,FYTD,OCT,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Travelers,Passenger Vehicles,1451
2024,Remaining,JUN,Northern Border,SEATTLE,MN,"GRAND PORTAGE, MN (3613)",Land,Conveyances,Passenger Vehicles,17121
2024,Remaining,JUL,Northern Border,PORTLAND,AK,"DALTON CACHE, AK (3106)",Land,Conveyances,Passenger Vehicles,3231
2022,Remaining,APR,Northern Border,PORTLAND,OR,"PORTLAND, OR (2904)",Air,Conveyances,Air,93
2022,Remaining,FEB,Northern Border,PORTLAND,CO,ARAPAHOE CNTY PUBL AIRPT (3384),Air,Conveyances,Air,65
2025 (FYTD),FYTD,OCT,Northern Border,BOSTON,MA,"BOSTON, MA (0401)",Land,Travelers,Pedestrians,23
2022,Remaining,JAN,Coastal/Interior,LOS ANGELES,CA,JOHN WAYNE AIRPORT (2787),Air,Travelers,Air,6571
2024,Remaining,SEP,Northern Border,BOSTON,ME,"CALAIS, ME (0115)",Land,Conveyances,Passenger Vehicles,54099
2023,Remaining,JUL,Coastal/Interior,SAN FRANCISCO,HI,KONA HI (3206),Air,Conveyances,Air,12
2024,Remaining,JUN,Coastal/Interior,NEW ORLEANS,TN,PORT OF TRI-CITIES (2027),Air,Travelers,Air,14
2024,FYTD,DEC,Northern Border,BUFFALO,NY,BINGHAMTON REGIONAL AIRP (0981),Air,Travelers,Air,12
2023,Remaining,AUG,Coastal/Interior,CHICAGO,OH,DHL COURIER (4197),Air,Conveyances,Air,544
2022,FYTD,DEC,Southern Border,TUCSON,AZ,"SAN LUIS, AZ (2608)",Air,Travelers,Air,109
2024,Remaining,JAN,Northern Border,SEATTLE,WA,"SUMAS, WA (3009)",Land,Travelers,Trucks,11518
2022,Remaining,MAY,Northern Border,SEATTLE,ND,"NORTHGATE, ND (3406)",Land,Travelers,Trucks,388
2022,Remaining,SEP,Northern Border,SEATTLE,MN,"ROSEAU, MN (3426)",Land,Travelers,Trucks,247
2023,FYTD,OCT,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Travelers,Pedestrians,314
2024,Remaining,JUL,Northern Border,SEATTLE,WA,"SUMAS, WA (3009)",Land,Travelers,Passenger Vehicles,116190
2022,Remaining,MAR,Coastal/Interior,ATLANTA,GA,MYRTLE BEACH INTL AIRPOR (1681),Air,Conveyances,Air,9
2022,Remaining,JUL,Northern Border,BOSTON,ME,"LIMESTONE, ME (0118)",Land,Conveyances,Passenger Vehicles,538
2023,Remaining,JUL,Coastal/Interior,HOUSTON,TX,"HOBBY AIRPORT, TX (5314)",Air,Travelers,Air,58195
2025 (FYTD),FYTD,NOV,Coastal/Interior,CHICAGO,IN,FORT WAYNE AIRPORT (4183),Air,Travelers,Air,22
2024,FYTD,OCT,Southern Border,LAREDO,TX,"LAREDO, TX (2304)",Land,Travelers,Trucks,286900
2024,Remaining,MAR,Northern Border,SEATTLE,MN,"LANCASTER, MN (3430)",Land,Conveyances,Passenger Vehicles,1552
2024,Remaining,JUL,Coastal/Interior,NEW ORLEANS,MS,"GULFPORT, MS (1902)",Air,Travelers,Air,109
2022,Remaining,MAR,Southern Border,LAREDO,TX,"BROWNSVILLE, TX (2301)",Land,Conveyances,Trucks,31532
2024,Remaining,JUL,Northern Border,SEATTLE,MT,"OPHEIM, MT (3317)",Land,Travelers,Trucks,4
2023,Remaining,APR,Northern Border,SEATTLE,ND,HECTOR INTERNATIONAL AIRPORT (3411),Air,Travelers,Air,346
2023,Remaining,MAR,Coastal/Interior,CHICAGO,MO,SPIRIT OF ST. LOUIS AIRP (4506),Air,Travelers,Air,190
2024,FYTD,NOV,Coastal/Interior,TAMPA,FL,"PORT CANAVERAL, FL (1816)",Air,Travelers,Air,25
2024,FYTD,OCT,Northern Border,SEATTLE,WA,"OROVILLE, WA (3019)",Land,Conveyances,Trucks,2290
2024,Remaining,JAN,Coastal/Interior,CHICAGO,MO,SPIRIT OF ST. LOUIS AIRP (4506),Air,Travelers,Air,156
2022,Remaining,FEB,Coastal/Interior,ATLANTA,SC,GREER (1608),Air,Travelers,Air,362
2023,Remaining,FEB,Coastal/Interior,NEW ORLEANS,TN,"MEMPHIS, TN (2006)",Air,Conveyances,Air,610
2024,FYTD,NOV,Preclearance,PRECLEARANCE,DC,USCBP EDMONTON PRECLEAR (7924),Air,Travelers,Air,34947
2024,FYTD,OCT,Coastal/Interior,NEW ORLEANS,TN,"CHATTANOOGA, TN (2008)",Air,Travelers,Air,85
2024,FYTD,DEC,Coastal/Interior,HOUSTON,TX,"HOBBY AIRPORT, TX (5314)",Air,Conveyances,Air,618
2023,Remaining,MAY,Coastal/Interior,ATLANTA,GA,"SAVANNAH, GA (1703)",Air,Conveyances,Air,96
2025 (FYTD),FYTD,DEC,Coastal/Interior,HOUSTON,TX,MIDLAND INTER AIRPORT (5582),Air,Conveyances,Air,4
2024,Remaining,AUG,Northern Border,SEATTLE,ND,"CARBURY, ND (3421)",Land,Conveyances,Passenger Vehicles,1101
2022,Remaining,JAN,Coastal/Interior,NEW YORK,NJ,"MORRISTOWN AIRPORT, NJ (4681)",Air,Conveyances,Air,37
2022,Remaining,MAY,Northern Border,SEATTLE,WA,METALINE FALLS (3025),Land,Conveyances,Passenger Vehicles,920
2022,Remaining,SEP,Northern Border,SEATTLE,WA,KENNETH G WARD POE (3023),Land,Conveyances,Trucks,3866
2023,FYTD,DEC,Northern Border,SEATTLE,ND,"NECHE, ND (3404)",Land,Travelers,Passenger Vehicles,1282
2023,Remaining,JUN,Southern Border,TUCSON,AZ,"DOUGLAS, AZ (2601)",Land,Conveyances,Passenger Vehicles,135858
2023,Remaining,JUN,Coastal/Interior,CHICAGO,IL,ROCKFORD AIRPORT (3909),Air,Travelers,Air,37
2023,FYTD,OCT,Northern Border,SEATTLE,MN,"BAUDETTE, MN (3424)",Air,Travelers,Air,10
2023,FYTD,NOV,Northern Border,BOSTON,MA,HANSCOM USER FEE AIRPORT (0481),Air,Travelers,Air,822
2024,Remaining,APR,Northern Border,SEATTLE,WA,"POINT ROBERTS, WA (3017)",Land,Conveyances,Passenger Vehicles,66887
2023,Remaining,MAY,Coastal/Interior,CHICAGO,IN,FORT WAYNE AIRPORT (4183),Air,Conveyances,Air,5
2022,Remaining,JUN,Coastal/Interior,HOUSTON,TX,MEACHAM INTL ARPRT (FTW) (5589),Air,Conveyances,Air,34
2023,Remaining,FEB,Coastal/Interior,NEW YORK,NJ,NEW YORK/NEWARK AREA (4601),Air,Conveyances,Air,3069
2025 (FYTD),FYTD,OCT,Northern Border,SEATTLE,MN,"PINECREEK, MN (3425)",Land,Conveyances,Trucks,5
2024,Remaining,AUG,Northern Border,SEATTLE,MN,"INTERNATIONAL FALLS, MN (3604)",Land,Travelers,Pedestrians,1595
2025 (FYTD),FYTD,OCT,Coastal/Interior,BALTIMORE,PA,"HARRISBURG, PA (1109)",Land,Travelers,Passenger Vehicles,9
2022,Remaining,MAR,Northern Border,DETROIT,MI,WILLOW RUN AIRPORT (3882),Air,Travelers,Air,153
2023,Remaining,SEP,Northern Border,BUFFALO,NY,"ROCHESTER, NY (0903)",Air,Conveyances,Air,33
2022,Remaining,AUG,Northern Border,BUFFALO,NY,CHAMPLAIN-ROUSES POINT (0712),Land,Conveyances,Trucks,24670
2022,FYTD,NOV,Northern Border,SEATTLE,ND,"NORTHGATE, ND (3406)",Land,Conveyances,Passenger Vehicles,249
2024,Remaining,AUG,Northern Border,SEATTLE,WA,METALINE FALLS (3025),Land,Conveyances,Passenger Vehicles,2785
2023,Remaining,MAY,Southern Border,SAN DIEGO,CA,"ANDRADE, CA (2502)",Land,Travelers,Passenger Vehicles,85085
2024,FYTD,NOV,Coastal/Interior,SAN FRANCISCO,HI,KONA HI (3206),Air,Conveyances,Air,9
2022,FYTD,NOV,Preclearance,PRECLEARANCE,DC,USCBP WINNEPEG PRECLEAR (7928),Air,Conveyances,Air,43
2024,Remaining,JUN,Northern Border,BOSTON,VT,"NORTON, VT (0211)",Land,Conveyances,Passenger Vehicles,1891
2022,Remaining,JAN,Coastal/Interior,CHICAGO,PA,"ERIE, PA (4106)",Air,Conveyances,Air,18
2024,Remaining,JUN,Northern Border,SEATTLE,ND,"PEMBINA, ND (3401)",Land,Travelers,Passenger Vehicles,51710
2022,Remaining,AUG,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Conveyances,Trucks,133
2022,Remaining,FEB,Northern Border,SEATTLE,ND,"NECHE, ND (3404)",Land,Conveyances,Passenger Vehicles,345
2022,Remaining,SEP,Coastal/Interior,SAN FRANCISCO,MP,ROTA (3213),Air,Travelers,Air,107
2024,FYTD,DEC,Preclearance,PRECLEARANCE,DC,"USCBP SHANNON IE, PRECLEAR (7542)",Air,Conveyances,Air,61
2025 (FYTD),FYTD,DEC,Coastal/Interior,CHICAGO,WI,"RACINE, WI (3708)",Air,Conveyances,Air,4
2023,Remaining,JAN,Preclearance,PRECLEARANCE,DC,USCBP CALGARY PRECLEAR (7923),Air,Travelers,Air,120616
2024,FYTD,DEC,Southern Border,LAREDO,TX,"HIDALGO,TX (2305)",Land,Conveyances,Trucks,53669
2022,Remaining,JAN,Northern Border,SEATTLE,MT,"OPHEIM, MT (3317)",Land,Conveyances,Trucks,52
2022,Remaining,FEB,Northern Border,SEATTLE,MT,"SWEETGRASS, MT (3310)",Land,Travelers,Trucks,6229
2024,Remaining,MAY,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Conveyances,Trucks,141
2023,Remaining,JUL,Northern Border,BOSTON,NH,MANCHESTER AIRPORT (0182),Air,Travelers,Air,53
2024,Remaining,MAY,Preclearance,PRECLEARANCE,DC,USCBP CALGARY PRECLEAR (7923),Air,Travelers,Air,145396
2024,Remaining,JUN,Northern Border,SEATTLE,MT,"DEL BONITA, MT (3322)",Land,Conveyances,Trucks,75
2023,Remaining,SEP,Northern Border,BUFFALO,NY,"TROUT RIVER, NY (0715)",Land,Travelers,Passenger Vehicles,20807
2023,FYTD,DEC,Coastal/Interior,TAMPA,FL,MELBOURNE REG AIRPORT (1885),Air,Conveyances,Air,38
2023,Remaining,JUN,Coastal/Interior,SAN FRANCISCO,CA,SAN JOSE INTL AIRPORT (2834),Air,Travelers,Air,30930
2022,Remaining,MAY,Northern Border,SEATTLE,ND,"CARBURY, ND (3421)",Land,Conveyances,Passenger Vehicles,335
2022,FYTD,NOV,Southern Border,LAREDO,TX,"BROWNSVILLE, TX (2301)",Land,Travelers,Pedestrians,151641
2023,FYTD,DEC,Coastal/Interior,SAN JUAN,VI,ST. THOMAS (PRE-INSPECTION) (7401),Air,Conveyances,Air,734
2023,FYTD,DEC,Coastal/Interior,TAMPA,FL,ORLANDO SANFORD AIRPORT (1809),Air,Travelers,Air,4886
2022,FYTD,OCT,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Air,Conveyances,Air,372
2022,FYTD,NOV,Northern Border,PORTLAND,AK,"SKAGWAY, AK (3103)",Land,Travelers,Trucks,157
2022,Remaining,MAY,Northern Border,SEATTLE,MT,"WILDHORSE, MT (3323)",Land,Travelers,Pedestrians,11
2024,Remaining,AUG,Coastal/Interior,SAN FRANCISCO,CA,FRESNO YOSEMITE AIRPORT (2882),Air,Conveyances,Air,117
2022,Remaining,SEP,Coastal/Interior,ATLANTA,GA,MYRTLE BEACH INTL AIRPOR (1681),Air,Travelers,Air,10
2023,Remaining,AUG,Northern Border,SEATTLE,MT,"RAYMOND, MT (3301)",Land,Conveyances,Passenger Vehicles,2636
2025 (FYTD),FYTD,NOV,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Air,Conveyances,Air,27
2024,Remaining,FEB,Coastal/Interior,CHICAGO,MO,"KANSAS CITY, MO (4501)",Air,Conveyances,Air,94
2024,Remaining,FEB,Northern Border,SEATTLE,MT,"SCOBEY, MT (3309)",Land,Travelers,Pedestrians,10
2024,Remaining,MAR,Northern Border,PORTLAND,AK,"SKAGWAY, AK (3103)",Land,Travelers,Passenger Vehicles,2599
2025 (FYTD),FYTD,NOV,Northern Border,SEATTLE,ND,"NOONAN, ND (3420)",Land,Travelers,Pedestrians,11
2022,FYTD,DEC,Preclearance,PRECLEARANCE,DC,USCBP OTTAWA PRECLEAR (7929),Air,Travelers,Air,4237
2023,Remaining,MAY,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Land,Conveyances,Passenger Vehicles,149742
2022,FYTD,NOV,Coastal/Interior,ATLANTA,WV,"CHARLESTON, WV (1409)",Air,Travelers,Air,5
2024,Remaining,FEB,Northern Border,BOSTON,MA,"NEW BEDFORD, MA (0405)",Air,Conveyances,Air,3
2022,Remaining,FEB,Coastal/Interior,TAMPA,FL,"ORLANDO, FL (1808)",Air,Travelers,Air,121132
2023,FYTD,NOV,Southern Border,LAREDO,TX,"BROWNSVILLE, TX (2301)",Land,Travelers,Passenger Vehicles,709310
2024,Remaining,SEP,Southern Border,LAREDO,TX,"LAREDO, TX (2304)",Land,Conveyances,Trucks,239740
2024,FYTD,DEC,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Land,Conveyances,Passenger Vehicles,22513
2023,Remaining,JAN,Coastal/Interior,CHICAGO,IL,"CHICAGO, IL (3901)",Air,Travelers,Air,439695
2022,Remaining,FEB,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Land,Travelers,Passenger Vehicles,31212
2022,Remaining,APR,Southern Border,TUCSON,AZ,SCOTTSDALE USER FEE ARPT (2681),Air,Conveyances,Air,228
2023,FYTD,DEC,Northern Border,PORTLAND,AK,"FAIRBANKS, AK (3111)",Air,Conveyances,Air,11
2022,Remaining,JUL,Southern Border,SAN DIEGO,CA,SAN YSIDRO (2504),Air,Conveyances,Air,1210
2023,Remaining,FEB,Southern Border,SAN DIEGO,CA,"ANDRADE, CA (2502)",Land,Conveyances,Passenger Vehicles,42188
2023,Remaining,FEB,Coastal/Interior,CHICAGO,IN,FORT WAYNE AIRPORT (4183),Air,Travelers,Air,28
2024,Remaining,FEB,Northern Border,BOSTON,ME,"VANCEBORO, ME (0105)",Land,Travelers,Pedestrians,3
2023,Remaining,SEP,Northern Border,BOSTON,VT,"RICHFORD, VT (0203)",Land,Travelers,Trucks,238
2022,Remaining,FEB,Southern Border,TUCSON,AZ,"LUKEVILLE, AZ (2602)",Land,Travelers,Pedestrians,5431
2023,Remaining,APR,Northern Border,SEATTLE,MN,"INTERNATIONAL FALLS, MN (3604)",Land,Travelers,Passenger Vehicles,26404
2024,Remaining,MAY,Southern Border,EL PASO,TX,YSLETA (2401),Land,Conveyances,Passenger Vehicles,305794
2022,FYTD,NOV,Northern Border,BOSTON,ME,"FORT FAIRFIELD, ME (0107)",Land,Conveyances,Trucks,413
